index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
0,AACG,EQUITY,45182736.0,31376900.0,NGM,5.98,ATA Creativity Global,ATA Creativity Global,,0.0
1,AACI,EQUITY,203367280.0,20709500.0,NGM,-0.053,Armada Acquisition Corp. I,Armada Acquisition Corp. I,,0.0
2,AACIU,EQUITY,,,NGM,-0.053,Armada Acquisition Corp. I,Armada Acquisition Corp. I,,0.0
3,AACIW,EQUITY,,,NGM,0.005,Armada Acquisition Corp. I,Armada Acquisition Corp. I Warrant,,
4,AADI,EQUITY,360828032.0,20929700.0,NCM,6.528,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",,0.0
5,AADR,ETF,,,NGM,,AdvisorShares Dorsey Wright ADR ETF,AdvisorShares Dorsey Wright,,
6,AAL,EQUITY,11840677888.0,649160000.0,NMS,-11.332,American Airlines Group Inc.,"American Airlines Group, Inc.",,0.0
7,AAME,EQUITY,64192592.0,20378600.0,NGM,6.93,Atlantic American Corporation,Atlantic American Corporation,16.578949,0.006451613
8,AAOI,EQUITY,91052144.0,27508200.0,NGM,9.317,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",,0.0
9,AAON,EQUITY,2954462208.0,52529300.0,NMS,8.875,"AAON, Inc.","AAON, Inc.",51.55963,0.0068185898
10,AAPL,EQUITY,2844634644480.0,16319399936.0,NMS,4.402,Apple Inc.,Apple Inc.,28.97922,0.004953897
11,AATC,EQUITY,33737544.0,5372220.0,NCM,3.68,Autoscope Technologies Corporation,Autoscope Technologies Corporat,14.604651,0.0570523
12,AAWW,EQUITY,2401822720.0,29215700.0,NMS,96.158,"Atlas Air Worldwide Holdings, Inc.",Atlas Air Worldwide Holdings,5.0888267,0.0
13,AAXJ,ETF,,,NGM,,iShares MSCI All Country Asia ex Japan ETF,iShares MSCI All Country Asia e,,0.0
14,ABCB,EQUITY,2995409920.0,69676896.0,NMS,42.755,Ameris Bancorp,Ameris Bancorp,7.961111,0.013673656
15,ABCL,EQUITY,2869393408.0,283256992.0,NMS,3.621,AbCellera Biologics Inc.,AbCellera Biologics Inc.,21.104168,0.0
16,ABCM,EQUITY,4285288704.0,228915008.0,NMS,2.871,Abcam plc,Abcam plc,748.8,0.0
17,ABEO,EQUITY,47558880.0,146618000.0,NCM,0.783,Abeona Therapeutics Inc.,Abeona Therapeutics Inc.,,0.0
18,ABGI,EQUITY,189459488.0,15566300.0,NCM,-0.238,ABG Acquisition Corp. I,ABG Acquisition Corp. I,,0.0
19,ABIO,EQUITY,31702220.0,14410100.0,NCM,3.542,"ARCA biopharma, Inc.","ARCA biopharma, Inc.",,0.0
20,ABMD,EQUITY,15413606400.0,45516200.0,NMS,31.482,"Abiomed, Inc.","ABIOMED, Inc.",116.41115,0.0
21,ABNB,EQUITY,111262040064.0,371168000.0,NMS,7.538,"Airbnb, Inc.","Airbnb, Inc.",,0.0
22,ABOS,EQUITY,162297936.0,40473300.0,NMS,5.564,"Acumen Pharmaceuticals, Inc.","Acumen Pharmaceuticals, Inc.",,0.0
23,ABSI,EQUITY,818255232.0,92772704.0,NMS,3.952,Absci Corporation,Absci Corporation,,0.0
24,ABST,EQUITY,436372736.0,50462700.0,NMS,0.29,Absolute Software Corporation,Absolute Software Corporation,,0.030542456
25,ABTX,EQUITY,892898048.0,20367200.0,NGM,40.146,"Allegiance Bancshares, Inc.","Allegiance Bancshares, Inc.",10.932668,0.010743061
26,ABUS,EQUITY,457817344.0,148642000.0,NMS,1.169,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation,,0.0
27,ABVC,EQUITY,77531472.0,28609400.0,NCM,0.311,"ABVC BioPharma, Inc.","ABVC Biopharma, Inc.",,0.0
28,ACAB,EQUITY,297600000.0,30000000.0,NGM,0.003,Atlantic Coastal Acquisition Corp. II,Atlantic Coastal Acquisition Co,,0.0
29,ACABU,EQUITY,,,NGM,0.003,Atlantic Coastal Acquisition Corp. II,Atlantic Coastal Acquisition Co,,0.0
30,ACABW,EQUITY,,,NMS,0.003,Atlantic Coastal Acquisition Corp. II,Atlantic Coastal Acquisition Co,,0.0
31,ACAD,EQUITY,4120374272.0,161204000.0,NMS,3.359,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,,0.0
32,ACAH,EQUITY,421762496.0,34500000.0,NCM,-0.538,Atlantic Coastal Acquisition Corp.,Atlantic Coastal Acquisition Co,,0.0
33,ACAHU,EQUITY,,,NCM,-0.538,Atlantic Coastal Acquisition Corp.,Atlantic Coastal Acquisition Co,,0.0
34,ACAHW,EQUITY,,,NCM,,Atlantic Coastal Acquisition Corp.,Atlantic Coastal Acquisition Corp. Warrant,,
