index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
0,A,EQUITY,40459071488.0,302000992.0,NYQ,17.832,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",34.002537,0.0058641275
1,AA,EQUITY,16955275264.0,187103008.0,NYQ,20.727,Alcoa Corporation,Alcoa Corporation,20.962296,0.0039986675
2,AAC,EQUITY,1470000000.0,100000000.0,NYQ,-0.549,Ares Acquisition Corporation,Ares Acquisition Corporation,77.16535,0.0
3,AAN,EQUITY,643490240.0,31935000.0,NYQ,23.183,"The Aaron's Company, Inc.","Aarons Holdings Company, Inc.",6.1809816,0.01992032
4,AAP,EQUITY,12676530176.0,61097600.0,NYQ,50.892,"Advance Auto Parts, Inc.",Advance Auto Parts Inc.,21.725653,0.015703518
5,AAT,EQUITY,2969265920.0,60523800.0,NYQ,20.47,"American Assets Trust, Inc.","American Assets Trust, Inc.",81.839325,0.030614937
6,AAV,MUTUALFUND,,,YHD,,Advantage Oil &amp; Gas Ltd.,,,
7,AB,EQUITY,4748165632.0,99271696.0,NYQ,16.319,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,12.340042,0.08294343
8,ABB,EQUITY,63283949568.0,1913149952.0,NYQ,7.955,ABB Ltd,ABB Ltd,14.608889,0.027829312
9,ABBV,EQUITY,287338397696.0,1766279936.0,NYQ,8.713,AbbVie Inc.,AbbVie Inc.,25.221704,0.032755535
10,ABC,EQUITY,32734121984.0,209136992.0,NYQ,1.155,AmerisourceBergen Corporation,AmerisourceBergen Corporation,20.295645,0.011505396
11,ABEV,EQUITY,51780980736.0,15738900480.0,NYQ,5.251,Ambev S.A.,Ambev S.A.,19.239765,0.18699689
12,ABG,EQUITY,3660520960.0,23187800.0,NYQ,110.071,"Asbury Automotive Group, Inc.",Asbury Automotive Group Inc,5.95923,0.0
13,ABM,EQUITY,3101389056.0,66869100.0,NYQ,24.542,ABM Industries Incorporated,ABM Industries Incorporated,24.709644,0.016615985
14,ABR,EQUITY,2755267072.0,159264000.0,NYQ,12.301,"Arbor Realty Trust, Inc.",Arbor Realty Trust,7.587719,0.08323564
15,ABT,EQUITY,209113464832.0,1763480064.0,NYQ,20.295,Abbott Laboratories,Abbott Laboratories,30.096447,0.0153768165
16,ABX,MUTUALFUND,,,YHD,,Barrick Gold Corporation,1775229,,
17,ACC,EQUITY,15898070016.0,139156992.0,NYQ,22.417,"American Campus Communities, Inc.",American Campus Communities Inc,239.33333,0.033589423
18,ACCO,EQUITY,770644416.0,95851296.0,NYQ,9.025,ACCO Brands Corporation,Acco Brands Corporation,7.657143,0.03375
19,ACE,MUTUALFUND,,,YHD,,,1280525,,
20,ACG,MUTUALFUND,,,YHD,,,438280,,
21,ACH,EQUITY,14307522560.0,680907008.0,NYQ,84.1,Aluminum Corporation of China Limited,Aluminum Corporation of China L,13.36,0.002211472
